date,region,product,revenue,units_sold,target,returns,cost
2024-01-01,North,Product A,45200,320,42000,12,28000
2024-01-02,South,Product B,38900,275,40000,8,22000
2024-01-03,East,Product A,52100,380,48000,15,31000
2024-01-04,West,Product C,29800,210,32000,6,18000
2024-01-05,North,Product B,61200,430,55000,20,37000
2024-01-06,South,Product A,35400,250,38000,9,21000
2024-01-07,East,Product C,48700,345,45000,11,29000
2024-01-08,West,Product B,55300,390,50000,18,33000
2024-01-09,North,Product A,42800,300,44000,10,26000
2024-01-10,South,Product C,67500,480,60000,22,41000
2024-01-11,East,Product B,31200,220,35000,7,19000
2024-01-12,West,Product A,58900,415,54000,16,35000
2024-01-13,North,Product C,44100,312,43000,13,27000
2024-01-14,South,Product B,72300,510,65000,25,44000
2024-01-15,East,Product A,39600,280,41000,8,24000
2024-01-16,West,Product C,26500,188,30000,5,16000
2024-01-17,North,Product B,83100,585,75000,28,50000
2024-01-18,South,Product A,47300,335,46000,14,29000
2024-01-19,East,Product C,54800,387,52000,17,33000
2024-01-20,West,Product B,61700,435,57000,19,37000
2024-01-21,North,Product A,36900,260,40000,9,22000
2024-01-22,South,Product C,49200,348,47000,15,30000
2024-01-23,East,Product B,78400,553,70000,26,47000
2024-01-24,West,Product A,33700,238,36000,8,20000
2024-01-25,North,Product C,91200,643,80000,30,55000
2024-01-26,South,Product B,44600,315,45000,12,27000
2024-01-27,East,Product A,62300,440,58000,21,38000
2024-01-28,West,Product C,38100,270,39000,10,23000
2024-01-29,North,Product B,55900,395,52000,17,34000
2024-01-30,South,Product A,29400,208,32000,6,18000
